episode,score
0,-117.651950503
1,-236.245967442
2,-98.4789267181
3,-325.537555404
4,-354.694901041
5,-284.653616908
6,-96.7697945063
7,-152.797358282
8,-422.159796446
9,-417.398478852
10,-127.659942993
11,-181.072634907
12,-12.819725441
13,-197.794480983
14,-303.450786418
15,-158.304117413
16,-413.057438241
17,-334.013079078
18,-146.609693852
19,-93.1251341222
20,-360.483775761
21,-216.093331726
22,-399.114730144
23,-349.611043392
24,16.3361619419
25,-67.6414295575
26,-332.248777939
27,-228.417879594
28,-257.077838136
29,-125.758783993
30,-177.353620347
31,-367.674371419
32,-161.387948401
33,-133.30000545
34,-135.594191359
35,-178.085542815
36,-117.085317251
37,-238.860706699
38,-137.395376902
39,-175.266609125
40,-225.862513841
41,-273.308376863
42,-251.121917946
43,-42.5462714542
44,-224.720395888
45,-372.375610057
46,-127.991453168
47,-207.489049599
48,-267.424516697
49,-58.1678397122
50,-163.896160841
51,-176.389248914
52,-210.631954918
53,-178.638514862
54,-359.513423114
55,-287.377011316
56,-271.502096948
57,-143.255423041
58,-242.640371854
59,-132.932110373
60,-315.565543532
61,-281.531527364
62,-311.637281519
63,-315.335372401
64,-96.7374872879
65,-45.0261424622
66,-136.052665931
67,-56.7685743924
68,-164.272105372
69,-444.441966397
70,-277.250189431
71,-200.89167547
72,-395.871936375
73,-291.282292647
74,-83.9979827023
75,-489.192454118
76,-128.491610997
77,-68.8279723298
78,-350.468925823
79,-388.959068424
80,-132.627217307
81,-104.018747908
82,-371.021960183
83,-244.475849067
84,4.846859205
85,-101.643941045
86,-261.553144587
87,-292.423078075
88,-401.043525204
89,-371.638284981
90,-472.771538835
91,-34.7806196244
92,-163.409860519
93,-250.235264119
94,-28.3952458846
95,-479.768726376
96,-82.4777281318
97,-348.070958689
98,-379.007217796
99,-125.584352087
100,-522.997403573
101,-134.82231812
102,-59.5951838626
103,-318.812167469
104,-109.322012588
105,-482.211813539
106,-59.4648395351
107,-330.668463614
108,-469.338025227
109,-85.6680827546
110,-24.290902494
111,-53.043622868
112,-40.2015814953
113,-213.94142208
114,-281.304890823
115,-107.94006569
116,-380.078676991
117,-100.222808946
118,-97.4319356046
119,-268.558265334
120,-109.335067888
121,-380.629172678
122,-345.612797074
123,-139.698469602
124,-239.828287641
125,-246.667486972
126,-15.9590875492
127,-128.537773145
128,-174.371289723
129,-354.901233982
130,-501.344527206
131,-197.35434229
132,-260.796281633
133,-100.430817893
134,-167.873589727
135,-133.303231641
136,-274.027877211
137,-433.593068639
138,-210.259043762
139,-120.93813516
140,-112.273813797
141,-85.0036586632
142,-135.989736448
143,-172.897776307
144,-111.611787419
145,-212.497076403
146,-169.398076288
147,-20.2852476854
148,-303.469230267
149,-191.955452812
150,-256.823567024
151,-224.538445582
152,-116.612177005
153,-208.717051908
154,-170.335613452
155,-173.096748411
156,-233.249142238
157,-201.448196715
158,-153.77781136
159,-213.382784938
160,-121.699416478
161,-158.5078257
162,-66.8001685859
163,-129.988110668
164,-369.75031367
165,-163.435219283
166,-195.126028238
167,-143.153529568
168,-243.35251447
169,-71.6129329605
170,-181.894268908
171,-135.274230327
172,-107.208147459
173,-147.849309862
174,-110.643323518
175,-38.4732178561
176,-236.741912157
177,-312.081551809
178,-111.250915678
179,-150.341504039
180,-537.18067669
181,-262.149801899
182,-75.6194848832
183,-183.281280486
184,-213.550255238
185,-20.0222438005
186,-83.8180104102
187,-153.493505885
188,-179.963519766
189,-109.039057865
190,-76.3631213743
191,-301.086466616
192,-31.4976194231
193,-317.315427911
194,-144.581487985
195,-94.450337109
196,-112.686001301
197,-256.253224143
198,-103.976929578
199,-160.936813377
200,-16.7427904526
201,-124.702699115
202,-266.102205469
203,-210.397695401
204,-292.956605721
205,-22.6380117568
206,-135.839714054
207,-107.50437438
208,-216.238113232
209,-27.2659195299
210,-91.3671451135
211,-85.4489055072
212,-100.235905158
213,-306.393920327
214,-456.767747448
215,-119.735246707
216,86.7127589273
217,-263.795407199
218,-229.010322682
219,-146.957287993
220,-206.637553092
221,-114.4529885
222,-350.582668989
223,-53.9255189134
224,-265.28183298
225,-42.6080916033
226,-109.740167367
227,-55.2416746417
228,-65.5326642553
229,-111.943316585
230,-241.494296966
231,-294.247545777
232,-97.8019299906
233,92.3244896518
234,-264.53465439
235,-43.7924819827
236,-16.3021351918
237,-115.782731879
238,-145.357864914
239,30.4261315243
240,-174.557433977
241,-314.247117112
242,-219.29935756
243,-290.804231669
244,-297.66275679
245,-272.336712698
246,-283.71700408
247,-420.825366699
248,-183.995411574
249,-42.1309392944
250,-371.655602458
251,-165.182776142
252,-226.577793187
253,-229.412274763
254,-205.942927003
255,41.1025268078
256,-6.4100176586
257,-26.6174354987
258,-242.728581505
259,-376.386409637
260,-94.0962434654
261,-254.410289863
262,-248.19382876
263,-520.123037378
264,-510.277058605
265,-61.1706094877
266,17.0209742551
267,-111.399312008
268,-126.433959458
269,-471.283605081
270,-519.145039404
271,-5.68382809612
272,-56.3210427782
273,-106.64534177
274,-44.2377932321
275,-157.18612504
276,-62.2769733795
277,136.733662792
278,-188.153828445
279,-264.607603195
280,-35.0437505726
281,-91.2733728487
282,-269.692534958
283,-227.576456437
284,-70.2874954806
285,-272.366020053
286,-236.676972849
287,234.339042909
288,-56.0404446792
289,-90.7747394788
290,-273.675770253
291,238.067211735
292,-398.037457479
293,-78.3162864553
294,-165.698424462
295,-222.27075289
296,-132.570832354
297,-222.001617108
298,-141.069251753
299,-247.479896745
300,130.049572657
301,-126.377543331
302,-311.25548185
303,-19.7161920422
304,-693.751270275
305,-277.33246767
306,223.594253791
307,116.403781853
308,-53.4063220902
309,-290.542283503
310,-103.966796025
311,-58.3431007191
312,-458.242384255
313,-86.7725639211
314,-576.505281652
315,-105.751029378
316,-169.756499359
317,-13.3405846385
318,-88.2581032119
319,-34.5941222504
320,-89.5135826853
321,-123.48949741
322,-48.6653759156
323,-183.656384762
324,-91.8698012654
325,229.512001774
326,-383.03863935
327,-329.934859928
328,-138.716895112
329,-300.738840328
330,-318.021796119
331,-37.5730881314
332,-280.791439545
333,-198.960169832
334,-324.940730355
335,-169.4098386
336,-69.8700291211
337,-189.052087299
338,-203.078888031
339,-3.50928375798
340,-232.44763653
341,-124.912164159
342,-97.6056191019
343,132.613760423
344,-306.836702867
345,-46.6768440589
346,-102.708817222
347,-93.8686436725
348,-248.686704876
349,-142.695290817
350,-76.6077730737
351,-58.4431684331
352,-67.9181579355
353,-72.3229163761
354,-138.217735506
355,-405.217733264
356,-101.120823027
357,204.23692815
358,-239.545467416
359,-137.107237495
360,202.189562149
361,-228.154448743
362,200.29243661
363,-272.851576399
364,208.75253801
365,-342.777910162
366,-27.2440232192
367,-392.502426149
368,-298.48932947
369,-279.333266196
370,-236.982696288
371,-249.305481965
372,-204.448307879
373,-215.631385571
374,-370.415076756
375,-92.6650219002
376,-474.152901137
377,-129.734925627
378,-420.750272282
379,-90.770639665
380,-247.051420554
381,-231.831852443
382,-411.63731983
383,-97.684113879
384,-363.243705345
385,-285.332506483
386,-269.876828203
387,-387.187103677
388,-86.0172053138
389,-368.073807183
390,174.639952872
391,-147.911534962
392,-285.507704288
393,-118.633042611
394,23.2387460026
395,-123.172062956
396,-293.838816783
397,-299.264885677
398,-235.29478571
399,-222.770243606
400,-103.642114817
401,-139.007661025
402,-137.000132882
403,-158.475787182
404,-73.9811076248
405,-64.4493816512
406,-360.08560026
407,231.451516662
408,-272.192992715
409,-203.130902221
410,-72.8892484722
411,-232.529123579
412,-80.973793791
413,-54.8543953175
414,-38.2898155696
415,199.536115433
416,-54.8471413237
417,154.727795352
418,-204.076311978
419,-240.934100092
420,-55.1870587691
421,-252.598355703
422,-2.84755489623
423,-223.289005058
424,-317.718432395
425,-90.7119286675
426,-266.130421996
427,-40.4705829834
428,-213.146770233
429,-475.472631094
430,-69.7662024338
431,194.613036286
432,-296.489083558
433,-133.481146449
434,-253.079693954
435,-199.956794545
436,199.040554457
437,-97.6385410219
438,-48.9684003802
439,-236.2796817
440,-233.806897166
441,-186.401567684
442,15.2135147199
443,-56.5100374111
444,-190.962326434
445,-269.093985585
446,-228.835217103
447,-186.705939472
448,119.149587257
449,160.162717109
450,-142.207704002
451,-270.926869939
452,-242.789514
453,-204.160817411
454,-360.85868557
455,-176.225778193
456,-246.466160152
457,-241.521891466
458,155.835666745
459,239.417390266
460,-155.64113652
461,-230.59797906
462,-252.524345034
463,211.317528695
464,-20.8702661602
465,194.127674074
466,-196.854489676
467,-251.660260103
468,-292.059519649
469,170.63240058
470,-191.83439564
471,257.96599687
472,-76.2114599362
473,-235.29014357
474,216.986208738
475,-221.336603788
476,-314.183374874
477,-98.4629595717
478,-246.293322163
479,264.826358313
480,-238.251398343
481,-41.8831648712
482,-227.145627637
483,-227.759840929
484,218.82780291
485,198.63490178
486,-160.146321038
487,-44.1805286329
488,-220.908577922
489,-247.407437231
490,205.104265448
491,-268.945637197
492,-62.9077287985
493,-147.086920797
494,-249.954736724
495,-191.357083136
496,-285.109262926
497,-2.23956618359
498,-38.352773171
499,-53.7231962083
500,-52.8917542266
501,4.88395573051
502,-61.2442065435
503,-377.173926089
504,-300.399349688
505,-46.5986416778
506,-39.4212661293
507,-51.2444351591
508,-246.136151168
509,-9.66951360516
510,-246.931866187
511,-58.0571665696
512,251.551085634
513,143.774090676
514,-203.519902194
515,-216.237369515
516,245.064789753
517,-333.987290298
518,235.422380466
519,-288.938650683
520,-220.526575782
521,246.701276398
522,-194.626401712
523,-240.944852076
524,-180.435740757
525,-39.1683876442
526,-333.704619404
527,-255.14197244
528,-249.821415737
529,37.9225438505
530,-2.56525907737
531,-43.1889179564
532,249.710351369
533,-222.442077156
534,-323.058487639
535,-219.036331206
536,-334.182226459
537,250.483261996
538,-223.274106689
539,-56.4174527392
540,-84.4403141126
541,-237.190354372
542,-154.253723231
543,241.127454246
544,171.424304864
545,-70.5698918939
546,-70.350842172
547,-249.19871465
548,-0.435222287278
549,-381.704849415
550,125.55968374
551,-232.999771883
552,-15.9715266564
553,-241.651462975
554,-141.45632731
555,-53.6677783711
556,247.209210829
557,263.811569386
558,9.02930790073
559,-149.154221237
560,-187.237820649
561,-239.789484849
562,-221.713803493
563,17.1554698709
564,-43.7152147119
565,-62.9637179679
566,245.261649337
567,110.466597972
568,-66.2039842584
569,231.837063168
570,146.404524914
571,-71.0195836805
572,-163.264525931
573,-209.042525009
574,-173.689905234
575,-114.938387023
576,-227.080067672
577,-138.78553163
578,-14.8268328846
579,-78.0343027477
580,-86.2523571635
581,163.378685003
582,-180.366632908
583,-212.317853013
584,-188.504000262
585,-230.307824262
586,-178.326242302
587,-199.057295783
588,-210.25729948
589,153.547829185
590,127.158761244
591,77.4789282538
592,-123.134613329
593,-220.451388484
594,-67.0008050066
595,172.82171194
596,-45.516131032
597,-53.0416162057
598,268.95664238
599,-196.289717268
600,273.939979982
601,-17.6885019752
602,-107.192080208
603,267.398652327
604,-217.826859453
605,-53.3870591007
606,-282.862203913
607,185.261820864
608,-184.460288083
609,-35.8743794466
610,-205.625358824
611,215.528145001
612,152.948719356
613,240.12519009
614,165.795620777
615,-34.0234323604
616,20.8580217752
617,-191.875535014
618,-247.85236512
619,-368.505361581
620,-229.405139676
621,189.714032602
622,-101.150854122
623,-252.362057342
624,202.772774636
625,-182.788447461
626,148.173415724
627,-27.5044848137
628,-174.291995658
629,-61.1546408263
630,-314.387202555
631,-68.9275875471
632,284.389349146
633,-295.356680357
634,-273.770916473
635,-62.8787712109
636,-233.84377033
637,-171.605195822
638,-238.561503415
639,198.439785557
640,-331.280008314
641,-55.1030753958
642,-176.548756298
643,-264.765042337
644,256.835130144
645,-242.427027072
646,-197.01417544
647,-53.0259171545
648,-168.778882944
649,-43.293483421
650,-161.074985244
651,-220.90373187
652,-276.291279686
653,69.1706926383
654,-203.217600432
655,-24.0782844111
656,-23.6630033312
657,-25.8768471732
658,-222.102492201
659,181.145882063
660,-224.134899177
661,-199.177387429
662,-116.21429681
663,-182.664311257
664,-37.5530827581
665,193.597385653
666,-220.646781062
667,189.421937143
668,213.573709917
669,-41.1559511252
670,211.724296882
671,-181.719046945
672,-93.5853252529
673,91.9424241352
674,-184.686216402
675,-222.706354411
676,-378.701020182
677,-159.895100895
678,-177.911346031
679,-6.47234648227
680,262.70524054
681,290.391085629
682,-200.569965534
683,-269.528991115
684,-139.879605118
685,174.337644758
686,-48.2688407357
687,205.902493702
688,-106.501909152
689,-201.261782499
690,-55.6188715856
691,159.182007412
692,-35.3411445319
693,237.390044298
694,-201.506749456
695,-41.3942500271
696,-190.960551719
697,-36.124808164
698,182.638575193
699,-24.9414227768
700,-47.2578391867
701,-98.9212884977
702,-71.1763267528
703,-270.480203474
704,-230.630442276
705,-390.37060578
706,-191.621652404
707,-249.347336188
708,227.602415295
709,-172.142136486
710,-205.971267592
711,263.559036733
712,224.650573016
713,-248.557142426
714,135.205065546
715,-105.368176613
716,215.835996705
717,250.76692007
718,-179.357344716
719,-213.749102488
720,-77.415402658
721,-295.511462707
722,-250.344095701
723,-67.6824824293
724,261.182428286
725,-47.1490871926
726,-193.47023617
727,-64.8924310629
728,176.236669282
729,-176.68798683
730,-64.7758402824
731,225.149224897
732,-189.297639209
733,251.025871141
734,-83.8651331905
735,-198.975289937
736,258.009701458
737,-225.602601244
738,-263.006826158
739,-204.176657638
740,-35.6836965872
741,-238.668732929
742,-171.49844303
743,-42.7759436621
744,-236.175556552
745,2.46691785342
746,-65.2995607151
747,-226.479193408
748,-264.713029375
749,-159.737168121
750,-252.165691772
751,-187.06701299
752,-217.839335018
753,-30.6326142558
754,-470.162010959
755,199.962483995
756,238.703796954
757,-258.818852117
758,213.501496059
759,-390.760935153
760,-200.885613138
761,295.677016114
762,-263.179245087
763,250.676100239
764,-283.302562727
765,-291.407683206
766,-359.735181458
767,-152.551841756
768,-236.889258888
769,-407.941896476
770,156.973037075
771,-239.35524824
772,-239.549750071
773,-328.162148323
774,-31.8994219003
775,-198.52664665
776,-187.71710766
777,229.649069345
778,-269.689309077
779,-242.449689834
780,238.306559867
781,-242.495772002
782,-318.153608291
783,-236.042035105
784,-43.0765231924
785,-212.712472008
786,126.968156777
787,-44.8991664784
788,-13.1033896153
789,-78.725630468
790,245.551333671
791,174.594718147
792,-128.80622396
793,-76.1959189578
794,-184.170764458
795,196.86580265
796,239.562526333
797,-184.32424712
798,119.383811765
799,-215.175650865
800,-248.434602883
801,-45.2391322632
802,-259.847691177
803,-62.0828217737
804,-83.3804452046
805,-48.0246103986
806,-39.2147167233
807,-13.976977921
808,-234.451637797
809,-37.990391309
810,-220.783460329
811,158.581982375
812,-22.6084614248
813,-268.555802143
814,-34.1288829006
815,-203.9930179
816,-226.85864285
817,266.276003027
818,-22.7033891184
819,264.919834311
820,213.697954332
821,-169.688396416
822,-64.6828575869
823,-313.617267016
824,-180.896357864
825,-190.059798146
826,-103.615682371
827,-218.393042986
828,3.73872559122
829,-188.174086617
830,-27.0922412539
831,-50.2847541254
832,-196.00857303
833,-84.3772077222
834,-53.9201832283
835,263.080132441
836,232.942781001
837,-17.013684356
838,-230.605513064
839,33.0449742745
840,181.299011376
841,-203.254258086
842,-221.359079119
843,-264.890037202
844,-228.391683331
845,-38.7609889011
846,217.148065931
847,174.647493996
848,-5.45847480569
849,-43.7841059021
850,-209.367968781
851,238.850855472
852,216.226627926
853,-225.20395824
854,219.338828409
855,-234.054896644
856,-172.418923875
857,-67.8999086258
858,-26.2110180812
859,-208.731652165
860,-253.42423287
861,-297.323531132
862,-254.054712166
863,-150.071348319
864,-81.8180788913
865,172.469392932
866,-222.606756998
867,-194.47172194
868,208.311489353
869,196.505438763
870,231.098808308
871,-62.4163588768
872,-194.167423163
873,183.968318809
874,123.333989921
875,-175.56492535
876,257.178665622
877,-87.8658946792
878,-69.2723478012
879,-33.5688177545
880,-22.1254244401
881,186.906470721
882,213.398776493
883,187.094555815
884,-51.0394020266
885,173.149549748
886,231.868989521
887,178.699555114
888,167.694246289
889,219.242106391
890,-274.063996945
891,226.683173657
892,-278.300444858
893,-13.1449471309
894,-184.297285212
895,270.337302124
896,-44.8473045631
897,227.869492633
898,151.391553083
899,218.819750571
900,-78.4734932288
901,-222.88077023
902,-199.699950233
903,207.387065256
904,-203.243854337
905,-219.635966643
906,232.481490324
907,209.954340951
908,-47.8003710563
909,-109.721202652
910,-217.150859272
911,-258.323164069
912,199.383480412
913,219.771380532
914,211.815258396
915,-4.16974666961
916,243.59093285
917,-260.342719804
918,5.84476267282
919,177.58033986
920,238.461705847
921,-247.507589366
922,181.234751976
923,201.98009117
924,-174.17579266
925,221.41308036
926,-81.8607797874
927,178.566712974
928,-217.361338255
929,-57.489225535
930,273.786567311
931,-32.8856404901
932,185.723234935
933,229.465019675
934,153.205401807
935,127.388668672
936,-55.619109758
937,176.773658008
938,-83.0595814751
939,-255.939187705
940,167.276375859
941,-209.859737569
942,-122.303383209
943,-186.245028038
944,-179.284307263
945,-45.2783458423
946,-5.63893917036
947,179.394564286
948,197.260308518
949,198.564515596
950,218.773795572
951,-279.120198544
952,-205.225180127
953,-204.721470454
954,180.924893713
955,-159.087983268
956,195.09239753
957,246.82645881
958,156.67435944
959,233.425428249
960,-217.263195708
961,153.234168206
962,216.199036767
963,-31.5083168739
964,-200.553394304
965,-40.5925591718
966,196.856269077
967,179.413123319
968,-187.890003438
969,-188.006339382
970,204.358426219
971,-40.1807848782
972,272.920641053
973,214.933527782
974,226.825206814
975,-23.5451735487
976,-54.9772123644
977,194.289800225
978,-207.670857266
979,-213.715480802
980,-56.0058907784
981,-158.748142768
982,-216.960487963
983,192.237983641
984,-204.305644672
985,191.013557516
986,165.346514584
987,231.64383341
988,235.100209186
989,-88.906117568
990,140.821416885
991,-217.526079338
992,-246.588452084
993,-2.79818681388
994,-275.690196267
995,-236.450836099
996,97.7735825008
997,213.433202861
998,-228.445810973
999,225.266068328
1000,-220.410548267
1001,-222.738766452
1002,131.795020532
