episode,score
0,-290.689316554
1,-343.80701254
2,-138.615781632
3,-180.968792869
4,-52.7601447697
5,-149.019796877
6,-133.918587463
7,-167.103395957
8,-82.2010516702
9,-147.205589796
10,-179.659174829
11,-192.971781716
12,-126.727503399
13,-285.549727159
14,-290.955623662
15,-272.142133446
16,-135.124693464
17,-240.027351025
18,-116.356911186
19,-27.4148193538
20,-156.929985727
21,-230.197536163
22,-96.387017629
23,-143.755818799
24,-68.2688369805
25,-105.063108552
26,-92.8787959902
27,-102.699602584
28,-88.1706058512
29,-89.8076126927
30,-105.385155919
31,-292.903963495
32,-279.171158472
33,-382.883257647
34,-187.721067386
35,-458.225634172
36,-78.9290836393
37,-225.739311766
38,-118.910859258
39,-166.364294048
40,-230.594874853
41,-499.065746378
42,-117.562291308
43,-648.088013884
44,-252.279741458
45,-108.195986211
46,-308.702457376
47,-67.4420478482
48,20.7851974478
49,-100.51892343
50,-206.121527156
51,-154.127798762
52,-195.331118411
53,-42.5729021271
54,-41.9676609141
55,-329.080770197
56,-287.900766546
57,-108.034646364
58,-283.470935468
59,-270.412517635
60,-204.594562394
61,-173.530897241
62,-190.549329422
63,-37.3844186689
64,-353.592636451
65,-72.0306673512
66,-505.326284588
67,-166.494398464
68,-184.558882579
69,-149.316142392
70,-128.677498456
71,-346.134171498
72,-27.3729407961
73,-291.816599129
74,-287.251082264
75,-104.844214471
76,-129.773145404
77,-163.971695388
78,-136.171657973
79,-184.953764049
80,-157.847460749
81,-294.236383428
82,-126.671540647
83,-66.3827188715
84,-148.138403732
85,-190.032489192
86,-351.548449482
87,-53.7809296304
88,-106.095131671
89,-81.633671915
90,-103.263184818
91,-128.910501949
92,-224.740362031
93,-95.95413625
94,-396.628069336
95,-347.709073045
96,-241.950007547
97,-182.986484679
98,-136.831282538
99,-124.325289582
100,-133.346068987
101,-269.84210633
102,-213.185209804
103,-133.978819294
104,-105.094949105
105,-155.202028661
106,-39.0905461275
107,-138.605063607
108,-11.4690342598
109,-18.274102023
110,-143.055579945
111,-86.6603298553
112,-93.1623585822
113,-161.887219907
114,-132.994073293
115,-272.478691522
116,-107.465392212
117,-277.045202027
118,20.0639742142
119,-294.798614878
120,-90.3247556122
121,-141.372823091
122,-245.269124319
123,-85.5717063928
124,-149.230126568
125,-164.823114415
126,-58.3134209086
127,-105.800967276
128,-195.404324274
129,-203.712708341
130,-114.147752966
131,-117.054034478
132,-66.3836302999
133,-86.3157000989
134,-232.850799158
135,-314.691482754
136,-218.571485535
137,-81.7318199037
138,-145.047022118
139,-317.982504103
140,-136.000563843
141,13.1123461727
142,-107.13786827
143,-83.679196565
144,-354.074277195
145,-89.6921393435
146,-97.9669895995
147,-104.003228692
148,-94.8667693794
149,-63.4000338823
150,-43.1569064467
151,-95.0366961779
152,-111.82139286
153,-45.2781566025
154,-12.4017744083
155,-113.655980718
156,-189.439504848
157,-310.974724658
158,-79.6482249417
159,-261.789673185
160,-15.760219396
161,-246.153840518
162,-139.272124651
163,-114.807821154
164,-75.7327379614
165,-102.104327627
166,-69.8042163061
167,-142.075049563
168,1.20207648483
169,-5.55311516503
170,5.34509593503
171,-6.1217274398
172,-65.6916339219
173,-69.2359302109
174,-91.4957903093
175,-5.61959263982
176,-270.299149072
177,-220.319966375
178,-13.3070251275
179,-16.6051703083
180,-46.8507259642
181,-281.50385083
182,-101.899275359
183,9.8384178435
184,-2.28100869702
185,-103.835648662
186,109.707622476
187,-14.8542490691
188,51.7853836016
189,-56.6491579037
190,-40.5985577322
191,-34.1476805553
192,4.90159813498
193,-66.7301870749
194,-93.2036344527
195,-21.3270394087
196,-137.789359768
197,-241.947661753
198,-55.7477325512
199,-124.343221858
200,-130.935942797
201,-165.404904715
202,-54.7338196894
203,1.18599938695
204,-154.291148071
205,-27.327522183
206,-21.4013356482
207,-134.422886616
208,-3.04654851979
209,-33.4824739679
210,-26.0934464643
211,74.1372505551
212,-14.0397470457
213,47.4544314533
214,-375.530275456
215,-75.0303017444
216,-203.182924643
217,131.66315988
218,-8.2260542071
219,-36.2875767898
220,-111.91529758
221,4.51070507828
222,-75.234574648
223,-50.4893271012
224,-99.4577870998
225,-54.170119559
226,-268.971667918
227,-215.841513309
228,-81.4904256432
229,-306.026637996
230,-86.3397887663
231,55.7140776102
232,-80.8165548729
233,52.4275342188
234,-48.5306004179
235,-231.161961276
236,-154.498914915
237,-97.6072456593
238,-210.796578834
239,-106.902432164
240,-288.901870696
241,-267.052791298
242,21.0490471974
243,-219.537389328
244,-101.208490397
245,113.915717948
246,-102.520889424
247,-17.0828773735
248,-186.505052402
249,84.9785234598
250,-73.9333070835
251,-108.041278631
252,-14.7754900199
253,-213.021651997
254,-243.103691059
255,-7.50094546151
256,-52.9175114898
257,-62.2669177381
258,-1.15660853821
259,122.933761316
260,-28.4143731276
261,-126.728495491
262,-88.6973298562
263,-110.076354027
264,-80.0759412542
265,-216.011891143
266,-31.7615961475
267,-269.846633118
268,-37.2048541372
269,27.8834713645
270,53.1239582417
271,-113.262294493
272,-422.304302571
273,-29.1810741955
274,-51.7586276509
275,-46.9318405191
276,22.1813017224
277,224.427376
278,-54.2945022789
279,138.884378955
280,-177.345723174
281,-223.247957583
282,266.806700122
283,30.7477313092
284,243.855952841
285,92.4037171362
286,207.457899664
287,53.8856808077
288,-112.437773877
289,-38.7438181076
290,-268.608996159
291,-208.790669596
292,-54.1212666462
293,223.610250663
294,-77.1628855355
295,-172.162936523
296,-16.0847079003
297,-63.1096980114
298,-56.7517881634
299,13.7205926354
300,-311.936452946
301,-34.0227090544
302,-312.118632385
303,36.5010717766
304,-46.3340910418
305,-38.962406721
306,74.9976101244
307,-230.587351021
308,-180.005041235
309,44.3591983509
310,26.866461742
311,-64.9642684037
312,95.6456687484
313,-275.014815626
314,28.4551920878
315,-347.789036958
316,-36.0443154485
317,-351.944780443
318,-224.913176419
319,-214.835346844
320,-142.649410156
321,109.51744783
322,-256.188168757
323,132.244198405
324,122.809852667
325,-65.5640602995
326,-396.067222228
327,255.098997044
328,-97.2273733177
329,-460.819926243
330,22.4540500044
331,-95.1545683914
332,-75.4432486242
333,157.158280522
334,-180.508760306
335,7.92999620601
336,-433.868073173
337,-310.863462471
338,203.633126727
339,-233.637018556
340,-241.753969727
341,1.61038826866
342,-33.2353435509
343,194.447607238
344,-237.098400454
345,-124.345443139
346,-273.862649606
347,-18.8057446003
348,-285.451204136
349,14.9111244674
350,166.697688808
351,-355.609947654
352,-62.1036753491
353,267.757429653
354,10.7823164581
355,-293.125806169
356,138.871404813
357,-268.306158023
358,-265.404580518
359,-50.7191139916
360,-41.1761645242
361,-372.296612554
362,-59.8630123808
363,-94.9806108278
364,-279.437203744
365,3.21543040483
366,-144.231383034
367,263.186664464
368,16.7965174083
369,-164.874318961
370,-55.412280766
371,185.317505844
372,-235.191322732
373,-28.6233528537
374,-169.28265203
375,-200.075694025
376,41.2221182248
377,-246.468743084
378,-29.1784007267
379,181.009164128
380,-224.330587001
381,186.408554046
382,-94.9137233718
383,-201.532500479
384,-179.950336898
385,-71.010540757
386,36.5717408371
387,-55.3317863701
388,31.5643002227
389,221.363476645
390,238.562979037
391,195.19753885
392,-39.4670433244
393,45.9320940496
394,-54.401900509
395,-23.196883616
396,-273.671291522
397,-8.1047675375
398,-204.454104934
399,-22.6144434214
400,19.5711563957
401,-44.0591978715
402,-268.095661333
403,230.089685193
404,-42.4416895608
405,-5.13977958097
406,-20.9713846309
407,246.495236667
408,-42.2289158703
409,-31.9723919106
410,-265.222682427
411,244.441647431
412,220.034182071
413,-9.80445322962
414,268.183021359
415,10.0652615405
416,-41.0223655894
417,-59.8648516417
418,-330.052678816
419,-261.495703066
420,215.405795013
421,207.815858036
422,130.284677019
423,227.765700737
424,240.107683558
425,-285.484340794
426,226.860392693
427,10.8304218143
428,256.706170964
429,-205.732714992
430,-60.7858548948
431,-76.755966368
432,-196.680164317
433,-266.451816822
434,225.077364371
435,-106.557253379
436,8.60932518214
437,247.393257839
438,191.619201554
439,-284.25216287
440,-213.268446675
441,-250.110875694
442,261.13678214
443,-232.445920373
444,-16.2429387781
445,-17.440404478
446,-187.1621774
447,-173.147271134
448,221.437035372
449,11.4184784684
450,-229.91839283
451,-178.250204646
452,221.561650604
453,265.979654895
454,-160.907020972
455,269.333277447
456,215.892376396
457,-1.82946484566
458,-163.872878089
459,-183.271578218
460,2.35930704921
461,-229.766105807
462,-181.010190258
463,-24.051563928
464,212.70134345
465,-200.015198157
466,6.12178814204
467,-206.822360122
468,185.058586532
469,-148.981358441
470,-83.706303134
471,255.199592041
472,-48.9271710081
473,-79.0371864371
474,152.258912129
475,295.765123586
476,170.001425841
477,15.971994882
478,251.764572256
479,253.668237584
480,-47.8900080058
481,246.650089465
482,226.353088021
483,212.061180091
484,-193.759515482
485,-7.71156720333
486,-228.453248
487,-11.2460313683
488,45.5319225738
489,192.00100705
490,180.701086256
491,-61.4827601213
492,-87.4905140194
493,-190.37327227
494,180.901301002
495,13.528703181
496,-12.5139700151
497,-31.8525694269
498,126.415714628
499,56.8925894089
500,-88.7058946043
501,-23.4561101029
502,253.343566896
503,50.4316773388
504,-32.6495060711
505,-195.477329838
506,164.932938227
507,226.998149942
508,255.645976705
509,-40.0683484477
510,-172.510767041
511,221.850953198
512,-193.555686172
513,186.633797627
514,-23.0616228434
515,-235.173614768
516,-1.64180310759
517,-15.3914736892
518,-6.74800291029
519,-59.1022962644
520,-5.68869732699
521,210.493110589
522,-33.221038147
523,-52.4587176918
524,-181.155930808
525,13.6655391869
526,191.226824774
527,-193.978664823
528,210.940042138
529,-170.531434719
530,-56.574250026
531,-255.989202306
532,198.347992701
533,-187.481433576
534,-151.155055702
535,243.040121305
536,-262.263991044
537,-45.0920576279
538,-192.610424273
539,-40.1166699437
540,142.702929179
541,189.839756573
542,-24.3452858454
543,-195.136049352
544,-162.591375316
545,1.30833313532
546,-29.5865606348
547,-66.8808793233
548,-210.290048242
549,180.506884975
550,-178.98891594
551,195.058892993
552,-240.368657841
553,202.595130895
554,0.782445045915
555,201.969559843
556,238.33641751
557,187.862339412
558,16.2007311836
559,-174.718216566
560,-13.2622362939
561,231.955072552
562,-255.083094048
563,-22.1356003382
564,-215.401520155
565,227.626644673
566,201.610309367
567,-62.7624444976
568,-38.1733699659
569,-185.089490811
570,1.38747454687
571,250.683985191
572,-43.3297437274
573,-224.432140794
574,-226.831206151
